year,hhid,plot_area,sr_yield,cc_yield,,
2,2305,0.059777,1294.349,407.7449,,
1,2307,0.37804,815.1833,1651.458,,
2,2307,0.06675,177.724,251.7837,,
2,2309,0.1127,1462.383,923.7587,,
1,2309,0.036405,1174.505,1747.736,,
2,2310,0.048085,239.8944,757.5131,,
1,2310,0.059969,876.6356,751.7762,,
2,2311,0.24585,334.099,349.0305,,
1,2311,0.3411,52.97767,409.6142,,
2,2312,0.4643,694.3684,620.9448,,
1,2312,0.066407,465.7878,1412.211,,
1,2316,0.025809,641.0859,2650.268,,
2,2316,0.035406,1053.063,1223.302,,
1,2319,0.12255,49.77188,46.26307,,
2,2319,0.09877,4348.115,890.2511,,
2,2401,0.051353,735.2046,90.53693,,
1,2401,0.046248,2604.598,1250.922,,
1,2402,0.35509,942.1634,2618.735,,
2,2402,0.48319,653.3795,1046.986,,
2,2404,0.33063,1006.818,900.7177,,
1,2404,0.35569,1060.25,2415.253,,
2,2406,0.58095,904.5654,1903.989,,
1,2406,0.71526,1188.598,844.2274,,
2,2408,0.23519,600.0579,1465.548,,
1,2408,0.06963,2772.438,1633.048,,
2,2409,0.25648,1481.824,1711.792,,
1,2409,0.19867,1271.165,2165.324,,
2,2410,0.080332,136.3986,123.1676,,
1,2410,0.033091,148.2722,1419.129,,
2,2411,0.085585,604.6752,752.4984,,
1,2411,0.026144,5678.474,517.4972,,
2,2412,0.087581,4619.307,1070.264,,
1,2412,0.049817,1166.163,1174.92,,
1,2413,0.26539,1445.622,2234.824,,
2,2413,0.056792,1247.841,277.4327,,
2,2417,0.1589,1976.66,1338.13,,
1,2417,0.31735,1585.54,706.7176,,
1,2501,0.163527,3205.104,1734.498,,
2,2501,0.42088,2124.305,1633.14,,
2,2505,0.94941,350.1349,440.6204,,
1,2505,0.27797,1380.233,1527.991,,
2,2507,0.044104,2792.841,747.4072,,
1,2507,0.080206,3196.686,602.7534,,
1,2508,0.088581,2233.779,650.666,,
2,2508,0.12396,1095.57,806.3125,,
1,2509,0.033395,1713.495,1432.927,,
2,2509,0.15417,665.0681,474.4748,,
2,2511,0.24579,1060.175,638.4888,,
1,2511,0.064142,4308.051,1051.201,,
1,2512,0.023752,407.1094,1076.346,,
2,2512,0.1191,266.1934,1471.984,,
2,2513,0.24731,326.0567,1053.277,,
1,2513,0.023693,7464.533,1947.348,,
1,2514,0.08836,810.5604,596.8074,,
2,2514,0.10627,3772.615,359.5428,,
1,2516,0.42845,909.0178,958.9511,,
2,2516,0.3381,411.1715,55.06303,,
2,2602,0.088655,851.012,1296.036,,
1,2602,0.18919,801.3249,1885.44,,
2,2603,0.061105,672.2971,599.1945,,
1,2603,0.065381,1204.886,668.3204,,
2,2604,0.036926,327.5896,601.45,,
1,2604,0.04354,794.415,2474.063,,
1,2605,0.028739,1368.478,904.8937,,
2,2605,0.083282,1633.218,1097.086,,
2,2607,0.26593,1451.452,1714.85,,
1,2607,0.16925,3226.045,507.4836,,
2,2608,0.095308,1412.304,1327.634,,
1,2608,0.096465,744.0061,1525.044,,
2,2610,0.38592,485.5674,540.147,,
1,2610,0.37316,269.4256,2126.577,,
2,2612,0.30019,850.9479,872.4127,,
1,2612,0.3017,1251.251,1949.223,,
2,2621,0.13335,2091.442,2255.843,,
1,2621,0.24858,243.5475,2515.361,,
1,2623,0.49608,1544.656,2371.823,,
2,2623,0.11149,2323.029,2083.261,,
1,2624,0.49655,1328.48,1624.42,,
2,2624,0.33779,603.5185,972.7919,,
2,2703,0.065288,1063.245,865.7399,,
1,2703,0.051384,3487.808,1524.644,,
2,2704,0.4029,450.2024,1025.913,,
1,2704,0.057579,9558.707,1442.421,,
2,2705,0.16478,960.975,903.718,,
1,2705,0.017394,8162.813,2003.212,,
2,2706,0.043697,330.1383,812.1024,,
1,2706,0.034392,4847.336,404.0023,,
2,2708,0.018296,630.9127,434.0996,,
1,2708,0.063288,510.9762,1741.087,,
2,2709,0.14424,131.9803,292.1591,,
1,2709,0.058747,563.9065,1407.745,,
1,2712,0.077785,12745.27,1126.805,,
2,2712,0.18426,179.3265,168.962,,
2,2713,0.017585,653.2131,581.6859,,
1,2713,0.23057,1093.757,895.5375,,
2,2718,0.096488,799.2185,366.68,,
1,2718,0.10911,1994.225,1441.784,,
